id;avg;std;item_count;sec_count;max_unitario;min;total;max
74150413;6518;6.564634744853161;15;5;128.21782178217822;1.19;97.77;25.9
32906122;7.72;6.2299999999999995;2;2;2.79;1.49;15.44;13.95
20546824;5.875555555555555;4.963649220104792;18;2;81.39285714285714;1.49;105.75999999999999;22.79
44361226;3.2742857142857145;1.600641453050773;7;4;5.19;0.99;22.92;5.19
34095418;20.939999999999998;8.959999999999999;2;1;157.36842105263156;2995;41.879999999999995;29.9
32913422;7.163999999999999;8.375254662794838;15;3;66.41025641025641;0.69;107.45999999999998;25.9
32910422;4.5;0.0;1;1;4.5;4.5;4.5;4.5
44356626;6.951666666666665;6.839145698761571;6;3;12.696304849884525;1.59;41.709999999999994;21.99
21792729;5.950714285714286;5.906579218229829;28;5;22.19;0.79;166.62;22.19
20548824;15.6525;11.164229429297842;4;3;32.49;2.05;62.61;32.49
32909722;4.75;0.0;1;1;12.5;12.5;4.75;4.75
36870619;4.202222222222222;1.9246343247356412;9;4;8.39;1.59;37.82;8.39
74149713;1.89;0.0;2;1;1.89;1.89;3.78;1.89
44361526;6.5120000000000005;3.2451465298195705;5;3;6.69;1.79;32.56;11.98
44361826;9.134999999999998;9.048975080085036;8;5;129.49999999999997;2.15;73.07999999999998;25.9
44360526;9.146666666666667;11.846800787085467;3;2;219.49152542372883;0.65;27.439999999999998;25.9
20549424;5.901666666666666;3.712135129844039;6;3;6.29;2.69;35.41;12.58
32913222;8.166666666666666;7.774661836161536;18;6;178.013698630137;465;147.0;25.99
74153113;6068;5.001393405842016;5;2;47.9;8.739726027397259;30.34;15.99
24448516;17.7925;8.740404381377328;4;1;470.0;4.49;71.17;32.9
74152513;8.389999999999999;8.786742285966966;5;3;25.9;1.2734530938123754;41.949999999999996;25.9
28876923;8406;5.878222010097951;40;7;20.89;1.09;336.24;23.07
26115221;32.7975;36.9806519513921;4;2;32.28;5.99;131.19;96.84
36872419;7.800000000000002;8.115526875723365;17;3;20.89;1.39;132.60000000000002;34.77
20555424;12.531538461538458;11.92476727471916;13;5;88.33333333333334;0.79;162.90999999999997;42.99
32915122;7.703333333333334;8.112840987526434;6;4;25.39;1.59;46.220000000000006;25.39
26120121;0.99;0.0;1;1;0.99;0.99;0.99;0.99
32924922;3.95;0.0;1;1;0.79;0.79;3.95;3.95
26126621;11.29;7.559060788219658;3;3;10.99;5.9;33.87;21.98
21798529;4.107777777777778;2.8259660207825013;9;3;26.0;1.59;36.97;10.79
37232520;4.99;1.0;2;1;5.99;3.99;9.98;5.99
65029615;5.880526315789473;4.379858774080098;19;4;17.99;0.89;111.72999999999999;17.99
74168113;8.634285714285713;5.553320389365157;7;3;94.10526315789473;2.49;60.44;17.88
74171313;14.793333333333335;14.68961159761853;3;2;110.24844720496893;2.99;44.38;35.5
65032015;9.9;0.0;1;1;9.9;9.9;9.9;9.9
74169713;2.95;0.8;2;1;3.75;2.15;5.9;3.75
74169913;1.19;0.0;1;1;595;595;1.19;1.19
32928122;5414;2.0875018562866;5;2;7.45;1.59;27.07;7.45
44370226;3.5325;2.7365340761627652;4;3;16.76829268292683;0.85;14.13;8.25
24450516;10645;12.920062886843857;4;2;299.09090909090907;1.1666666666666667;42.58;32.9
44354826;0.99;0.0;1;1;0.99;0.99;0.99;0.99
36869719;3.7099999999999995;0.6256729710213369;3;3;4.59;2.1774744027303754;11.129999999999999;4.59
24445816;26.2;23.7;2;1;237.6190476190476;2.5;52.4;49.9
21791929;6115;0.21650635094610965;4;1;6.49;5.99;24.46;6.49
37235420;1.58;0.0;1;1;0.79;0.79;1.58;1.58
32908522;7.14;3.5599999999999996;2;2;5.35;1.79;14.28;10.7
20547324;7.761379310344827;8.045649809438867;29;6;107.07142857142857;0.026000000000000002;225.07999999999998;29.98
24454016;32.9;0.0;1;1;35.95628415300546;35.95628415300546;32.9;32.9
65028615;11.331999999999999;4.435431884270121;5;2;5.99;2.99;56.66;17.97
20561724;3.07625;2.0028288587645227;8;4;47.40506329113924;1.29;24.61;7.49
32916322;3.7075;4.205308401294726;4;3;26.26506024096386;0.14166666666666666;14.83;10.9
26123021;5.961538461538462;7.960978241159376;26;7;655.0;1.19;155.0;37.99
74162413;38.19;0.0;1;1;38.19;38.19;38.19;38.19
74156113;2.8419999999999996;1.6952923051792572;5;2;6.09;1.49;14.209999999999999;6.09
26122321;6.013793103448276;5.352395798591508;29;5;107.56;0.2483333333333333;174.4;26.89
28881323;8.84;6.949999999999999;2;2;15.79;1.89;17.68;15.79
28886123;17.49;3.2403703492039293;3;2;20.73886639676113;12.99;52.47;20.49
34097318;4.140000000000001;2.85;2;2;6.99;1.29;8.280000000000001;6.99
20559424;9.05066666666667;8.696753008387033;30;6;46.006944444444464;0.79;271.5200000000001;32.67
24452916;19445;13.454999999999998;2;1;101.23076923076924;5.99;38.89;32.9
20555024;7.90625;9.352782256499935;16;5;208.82352941176467;0.09083333333333334;126.5;35.5
26117921;7955;5.450193115844613;10;3;11.25;1.09;79.55;23.07
65031815;6.2475;6.171233162828966;12;2;12.89;1.0208;74.97;25.78
32927022;4.843333333333333;2.480931724619245;3;2;18.555555555555557;2.99;14.53;8.35
26125121;6.907142857142858;3.810758133366694;7;5;15.55;2.79;48.35000000000001;15.55
26125421;3.4842857142857144;1.7128660788519434;7;3;24.958333333333336;1.69;24.39;5.99
26126821;1.99;0.0;1;1;1.99;1.99;1.99;1.99
21798829;4.99;0.0;1;1;4.99;4.99;4.99;4.99
21794829;5634;8.885758493229488;5;3;23.39;0.79;28.17;23.39
24453816;21.2;19.992248497855364;4;1;271.8181818181818;2.5;84.8;49.9
20556624;5.62;0.4299999999999997;2;2;6.05;5.19;11.24;6.05
74164513;2.3144444444444443;1.2174573787758658;9;3;4.59;1.05;20.83;4.59
65026815;2.5616666666666665;1.8675511297477838;6;3;6.65;0.85;15.37;6.65
74161913;4.6364;4.037192965415451;25;5;165625;0.2125;115.91;15.99
